Filnavn;Content
Aftale om deling af udgifter - tilsluttede selskaber.aspx;
Aftalen med Lægeforeningen.aspx;
Branche etisk regelsæt.aspx;
Brochurer fra Forsikring Og Pension.aspx;
Kodeks ved mistanke om forsikringssvindel.aspx;
Regresudvalgets 4-mands udvalg.aspx;
Sikre emailadresser.aspx;
PersonskadeSikker post.aspx;
Færdselslovens § 101.aspx;
Konkurrerende lidelser - tilkomne.aspx;
Regres for sygedagpenge - adresser til brug for indberetning.aspx;
Pligt til at orientere kommunen - sygedagpengelovens § 78 stk. 2.aspx;
Forældelse af sygedagpengekravet.aspx;
AES udtalelser - med og uden psykisk traume.aspx;
Øjenlæge speciallæge-erklæring.aspx;[TODO]
Mellemkommende død.aspx;
Patientskader.aspx;
Andet tab - hvor går grænsen.aspx;
Helbredelsesudgifter.aspx;
Domme - årsagssammenhæng.aspx;
Forrentning af sygedagpengekravet.aspx;
Fokusgrupperne TAF og ASL.aspx;
Arbejdsskadesikringsloven dækker primært.aspx;
Hospitalers sikre mail adresser.aspx;[TODO]
Hvornår er en skade en arbejdsskade.aspx;
Attesthonorar.aspx;
Skyldfordeling - flere ansvarlige efter færdselsloven.aspx;
Sygedagpengeloven - 08.12.17.aspx;
Traumets egnethed - whiplash.aspx;
Den praktiske opgørelse - lønmodtagere - Hvad skal trækkes fra.aspx;
Hvordan bedømmer vi skadelidte uden arbejde (studerende, pensionister, barn mv.).aspx;
Reglerne om værgemål.aspx;
Hvor længe kan skadelidte kræve tabt arbejdsfortjeneste - hvornår kan vi stoppe perioden - arbejdsskadesagerne (ASL EAL).aspx;
Tvivl om, hvad skadelidte kan - videooptagelse.aspx;
EAL temadag 07.09.17 - ASL, Forældelse mv.aspx;
PersonskadeStartside.aspx;
Gebyr til Arbejdsmarkedets Erhvervssikring.aspx;
Arbejdsgivers krav på regres - afledet krav.aspx;
AES udtalelser - årsagssammenhæng.aspx;
Nedsættelse eller bortfald af personskade (forsæt), Færdselslovens § 101, stk.2,1.pkt.aspx;
Krav mod kommune.aspx;
Er vi bundet af tidligere afgørelser.aspx;
Skadelidtes tabsbegrænsningspligt - kun TA, så længe sygemeldingen skyldes uheldets følger.aspx;
Er der godtgjort et EET-krav, som falder i arv.aspx;
Årsagssammenhæng.aspx;
Den praktiske opgørelse - lønmodtagere - Hvad skal tages med.aspx;
Ferielovens § 25.aspx;
Nyttige link til Politiet, Autotax mv.aspx;
Nedsættelse af personskade (grov uagtsomhed), Færdselslovens § 101,stk.2.aspx;
En beskrivelse af gældende regler om forældelse af personskade.aspx;
Anmodning om suspension.aspx;
Berettiger skadelidtes erhvervsmæssige status på skadetidspunktet til tabt arbejdsfortjeneste.aspx;
Traumets egnethed - psykisk skade.aspx;
Traumets egnethed - diskusprolaps-protusion.aspx;
Traumets egnethed - brug af DanCrash.aspx;
Er det uheldet, som forhindrer skadelidte i at genoptage arbejdet.aspx;
Vejledning om årslønsfastsættelse fra AES.aspx;
Konkurrerende lidelser - forudbestående.aspx;
Relevante strakssymptomer.aspx;
Generelt om årsagssammenhæng.aspx;
Erhvervsevnetab - særligt om skadelidte, der ender i flexjob.aspx;
Erhvervsevnetab - generelt.aspx;
Fastsættelse af årsløn - selvstændige.aspx;
Procedure når sagen sendes til Arbejdsmarkedets Erhvervssikring.aspx;[TODO]
Er sagen afsluttet.aspx;
Psykisk skader.aspx;
Afregning af varigt men - hvornår stopper retten til svie og smerte.aspx;
Hvor længe kan skadelidte kræve tabt arbejdsfortjeneste - hvornår kan vi stoppe perioden - de rene EAL sager.aspx;
Fordeling hvis skadelidte udsat for flere uheld.aspx;
FAL § 95.aspx;
Erstatning til ægtefælle eller samlever.aspx;
Forsøgertab til børn.aspx;
Fastsættelse af årsløn - skadelidte på deltid.aspx;
Dårlig sagsbehandling i kommunen - kan vi nægte at betale sygedagpengeregres eller gøre kommunen erstatningsansvarlig TA.aspx;
EAL temadag 18.09.13 - Prolapser og årsagssammenhæng.aspx;
Gennemgang af retsstilling.aspx;
Skadelidte arbejdsløs på skadetidspunkt.aspx;
Prolapser og årsagssammenhæng - Tim 18.09.13.aspx;
Luise Hougaard - Ny førtidspension og flexjob reform 15.11.13.aspx;
Ny førtidspension og flexjob reform 15.11.13.aspx;
EAL temadag 29.04.14 - Socialrådgiver og EET-årsløn.aspx;
Kreditorbeskyttelse - Retsplejelovens § 513.aspx;[TODO]
Forsøgertab.aspx;
Brug af socialrådgiver.aspx;
Tabt arbejdsfortjeneste, hvor skadelidte var i flexjob forinden uheldet.aspx;
Er betingelserne for genoptagelse opfyldt.aspx;
Fastsættelse af årsløn - unge på gymnasial uddannelse mv.aspx;
Skyldfordeling - ansvarsgrundlag (færdselslov, hundelov, hestelov, erhvervsansvar, privatansvar).aspx;
Sygedagpengelov § 78, stk. 1, 2. pkt. - ikke regres overfor arbejdsgiver.aspx;
Opgørelse af kommunens krav.aspx;
skadelidte kommet tilbage på arbejdsmarked - efter lang løs tilknytning til arbejdsmarked.aspx;
Fastsætte af årsløn - skadelidte under uddannelse efter lang løs tilknytning til arbejdsmarked.aspx;
Hvornår er man syg, jvf. § 3 1. pkt.aspx;[TODO]
Hvad gør vi, når folk genoptager arbejdet helt eller delvist.aspx;[TODO]
Godtgørelse selvom arbejdet genoptaget på fuld tid - helt undtagelsesvist - §3 2. pkt.aspx;[TODO]
Skadelidte, som anfører IKKE at være i arbejde på skadetidspunktet.aspx;[TODO]
§ 2 før og efter den 16.06.2011.aspx;[TODO]
Andet tab - forlængelse af uddannelse og tab af skoleår.aspx;[TODO]
Andet tab - udgift til skadelidtes advokat.aspx;[TODO]
Arbejde i hjemmet.aspx;[TODO]
Brug af interessefeltet i Skadeportalen.aspx;[TODO]
Nedsættelse eller bortfald af tingskaden, Færdselslovens § 101,stk.3.aspx;[TODO]
Direkte - indirekte skadelidte.aspx;[TODO]
Særlige tilfælde hvor skaden anlægges af Personskade.aspx;[TODO]
Retningslinier.aspx;[TODO]
Bilskader med politirapport og personskade.aspx;[TODO]
Uheld i DK med britisk statsborger - Garko Stinus 13.12.13.aspx;[TODO]
Generel skadepolitik.aspx;[TODO]
Skulder skader - BEMA 13.12.13.aspx;[TODO]
Procesbeskrivelse.aspx;[TODO]
Overfaldsdækningen.aspx;[TODO]
Oplysning om kreditorbeskyttelse.aspx;[TODO]
Fra almindelig til kompliceret sag - hvornår.aspx;[TODO]
Færdselslovens § 103.aspx;[TODO]
Statsforvaltningen.aspx;[TODO]
Videregivelse af oplysninger om medlemsforhold til andre.aspx;[TODO]
Behandling af medlemsoplysninger uden for huset.aspx;[TODO]
Depression som følge af et ulykkestilfælde.aspx;[TODO]
Muskelsvind på lår.aspx;[TODO]
Hjernetraumer.aspx;[TODO]
Funktionsbeskrivelse - fagvejlederrollen i personskade.aspx;[TODO]
Hvordan fastsættes reserven på varigt mén (EAL § 4).aspx;[TODO]
Kontooverførsler til NemKonto.aspx;[TODO]
PersonskadeDFIM(1).aspx;
